Field Office,Sub-Office,Jail or Prison Type,Juvenile Facility,Jail or Prison Name,Jail or Prison City,County,State,Jurisdiction,2015 Detainer/Notification Acceptance Status,2015 ICE Comments,2017 ICE Comments,ILRC Analysis,No 287(g),No ICE Detention Contract,No ICE holds,No ICE alerts,Limits on ICE interrogations in jail,Prohibition on asking about immigration status,General prohibition on assistance to ICE,ILRC Total,ILRC Comments,Title of Policy,LINK,GEOID - FIPS
NOL,,,,,,Bradley,AR,Bradley County Sheriff,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05013
NOL,,,,,,Chicot,AR,Chicot Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05019
NOL,,,,,,Clark,AR,Clark Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05021
NOL,,,,,,Desha,AR,Desha Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05043
NOL,,,,,,Drew,AR,Drew Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05045
NOL,,,,,,Little River,AR,Little River Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD & DFOD met with this Arkansas LEA and discussed PEP at the Arkansas Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,05081
SFR,,,,,,Alpine,CA,Alpine County,"2: Considering, but (currently) not willing to accept (I-247N) Notifications and/or (I-247D) Detainers",Awaiting response from Sheriff concerning future meeting on PEP,,,1,1,1,1,1,1,1,7,,,,06003
NOL,Etowah,County/City,NO,Autauga County Jail - AL,Prattville,Autauga,AL,Autauga Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01001
NOL,Mobile,County/City,NO,Baldwin County Jail - AL,Bay Minette,Baldwin,AL,Baldwin Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,0,0,0,0,0,0,1,,,,01003
NOL,Etowah,County/City,NO,Barbour County Jail - AL,Clayton,Barbour,AL,Barbour Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01005
NOL,Etowah,County/City,NO,Bibb County Correctional Center - AL,Brent,Bibb,AL,Bibb Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01007
NOL,Etowah,County/City,NO,Blount County Jail - AL,Oneonta,Blount,AL,Blount Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01009
NOL,Etowah,County/City,NO,Bullock County Jail - AL,Union Springs,Bullock,AL,Bullock Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01011
NOL,Montgomery,County/City,NO,Butler County Jail - AL,Greenville,Butler,AL,Butler Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01013
NOL,Etowah,County/City,NO,Calhoun County Jail - AL,Anniston,Calhoun,AL,Calhoun Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01015
NOL,Etowah,County/City,NO,Chambers County Jail - AL,Lafayette,Chambers,AL,Chambers Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01017
NOL,Etowah,County/City,NO,Cherokee County Jail - AL,Centre,Cherokee,AL,Cherokee Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01019
NOL,Etowah,County/City,NO,Chilton County Jail - AL,Clanton,Chilton,AL,Chilton Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01021
NOL,Mobile,County/City,NO,Choctaw County Jail - AL,Butler,Choctaw,AL,Choctaw Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01023
NOL,Mobile,County/City,NO,Clarke County Jail - AL,Grove Hill,Clarke,AL,Clarke Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01025
NOL,Etowah,County/City,NO,Clay County Jail - AL,Ashland,Clay,AL,Clay Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01027
NOL,Etowah,County/City,NO,Cleburne County Jail - AL,Heflin,Cleburne,AL,Cleburne Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",N/A,,1,1,0,0,0,0,0,2,,,,01029
NOL,Etowah,County/City,NO,Coffee County Jail - AL,New Brockton,Coffee,AL,Coffee Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01031
NOL,Etowah,County/City,NO,Colbert County Jail - AL,Tuscumbia,Colbert,AL,Colbert Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01033
NOL,Mobile,County/City,NO,Conecuh County Jail - AL,Evergreen,Conecuh,AL,Conecuh Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01035
NOL,Etowah,County/City,NO,Coosa County Jail  - AL,Rockford,Coosa,AL,Coosa Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01037
NOL,Montgomery,County/City,NO,Covington County Jail - AL,Andalusia,Covington,AL,Covington Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01039
NOL,Etowah,County/City,NO,Crenshaw County Jail - AL,Luverne,Crenshaw,AL,Crenshaw Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01041
NOL,Etowah,County/City,NO,Cullman County Jail - AL,Cullman,Cullman,AL,Cullman Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01043
NOL,Etowah,County/City,NO,Dale County Jail - AL,Ozark,Dale,AL,Dale Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01045
NOL,Etowah,County/City,NO,Dallas County Jail - AL,Selma,Dallas,AL,Dallas (Alabama) Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01047
NOL,Etowah,County/City,NO,Dekalb County Jail - AL,Fort Payne,De Kalb,AL,De Kalb Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,0,0,0,0,0,0,1,,,,01049
NOL,Etowah,County/City,NO,Elmore County Jail - AL,Wetumpka,Elmore,AL,Elmore Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01051
NOL,Mobile,County/City,NO,Escambia County Jail - AL,Brewton,Escambia,AL,Escambia (Alabama) Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01053
NOL,Etowah,County/City,NO,Etowah County Jail - AL,Gadsden,Etowah,AL,,,,,,0,0,0,0,0,0,0,0,287(g) and [notoriously horrible] IGSA,,,01055
NOL,Etowah,County/City,NO,Fayette County Jail - AL,Fayette,Fayette,AL,Fayette Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01057
NOL,Etowah,County/City,NO,Franklin County Jail - AL,Russellville,Franklin,AL,Franklin Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01059
NOL,Etowah,County/City,NO,Geneva County Jail - AL,Geneva,Geneva,AL,Geneva Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01061
NOL,Etowah,County/City,NO,Greene County Jail - AL,Eutaw,Greene,AL,Greene Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01063
NOL,Etowah,County/City,NO,Hale County Jail - AL,Greensboro,Hale,AL,Hale Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01065
NOL,Etowah,County/City,NO,Henry County Jail - AL,Abbeville,Henry,AL,Henry Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01067
NOL,Etowah,County/City,NO,Houston County Jail - AL,Dothan,Houston,AL,Houston Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01069
NOL,Etowah,County/City,NO,Jackson County Jail - AL,Scottsboro,Jackson,AL,Jackson County Sheriffs Office,4: Willing to accept both (I-247N) Notifications and (I-247D) Detainers,"FNL FOD met with this Alabama LEA and discussed PEP at the Alabama Sheriffs Association event, and offered an individual briefing for any interested jurisdictions.",,,1,1,0,0,0,0,0,2,,,,01071
